id,Country,Year,GDP
1,Australia,2000,21870.41597
2,Australia,2001,19695.72974
3,Australia,2002,20301.84317
4,Australia,2003,23718.13385
5,Australia,2004,30836.73068
6,Australia,2005,34479.76793
7,Australia,2006,36595.70715
8,Australia,2007,41051.61207
9,Australia,2008,49701.28178
10,Australia,2009,42816.5674
11,Australia,2010,52147.02419
12,Australia,2011,62609.66072
13,Australia,2012,68078.04423
14,Australia,2013,68198.41934
15,Australia,2014,62558.24388
16,Australia,2015,56758.8692
17,Australia,2016,49918.79393
18,Australia,2017,53954.55349
19,Australia,2018,57273.52048
20,Australia,2019,55049.57192
21,Australia,2020,51868.24756
22,Australia,2021,60697.24544
23,Australia,2022,65077.67667
24,Australia,2023,64711.7656
25,Canada,2000,24271.00206
26,Canada,2001,23822.09621
27,Canada,2002,24256.01923
28,Canada,2003,28301.86459
29,Canada,2004,32145.54126
30,Canada,2005,36383.66001
31,Canada,2006,40504.0371
32,Canada,2007,44660.08389
33,Canada,2008,46710.25269
34,Canada,2009,40874.88319
35,Canada,2010,47560.6666
36,Canada,2011,52223.85884
37,Canada,2012,52670.34473
38,Canada,2013,52638.11872
39,Canada,2014,50960.84312
40,Canada,2015,43594.1941
41,Canada,2016,42314.06158
42,Canada,2017,45129.62812
43,Canada,2018,46539.17616
44,Canada,2019,46352.86934
45,Canada,2020,43537.8393
46,Canada,2021,52496.84417
47,Canada,2022,55509.39318
48,Canada,2023,53371.69743
49,Netherlands,2000,26214.49855
50,Netherlands,2001,26896.54811
51,Netherlands,2002,29343.245
52,Netherlands,2003,35750.97466
53,Netherlands,2004,40436.61823
54,Netherlands,2005,41994.71353
55,Netherlands,2006,44900.93814
56,Netherlands,2007,51799.20855
57,Netherlands,2008,57879.94376
58,Netherlands,2009,52722.21306
59,Netherlands,2010,50999.74512
60,Netherlands,2011,54230.3129
61,Netherlands,2012,50070.1416
62,Netherlands,2013,52198.89756
63,Netherlands,2014,52900.53742
64,Netherlands,2015,45193.40322
65,Netherlands,2016,46039.10593
66,Netherlands,2017,48675.22234
67,Netherlands,2018,53044.53244
68,Netherlands,2019,52476.27325
69,Netherlands,2020,52162.57012
70,Netherlands,2021,58727.87055
71,Netherlands,2022,57025.01246
72,Netherlands,2023,62536.73203
73,New Zealand,2000,13641.10272
74,New Zealand,2001,13882.85683
75,New Zealand,2002,16874.18749
76,New Zealand,2003,21913.70817
77,New Zealand,2004,25420.23488
78,New Zealand,2005,27751.06547
79,New Zealand,2006,26654.5932
80,New Zealand,2007,32479.98174
81,New Zealand,2008,31252.96256
82,New Zealand,2009,28209.36233
83,New Zealand,2010,33676.77412
84,New Zealand,2011,38388.52809
85,New Zealand,2012,39974.29973
86,New Zealand,2013,42977.38804
87,New Zealand,2014,44578.22539
88,New Zealand,2015,38639.35019
89,New Zealand,2016,40070.89566
90,New Zealand,2017,42913.18696
91,New Zealand,2018,43228.69765
92,New Zealand,2019,42747.20993
93,New Zealand,2020,41785.69229
94,New Zealand,2021,49624.18167
95,New Zealand,2022,48216.50958
96,New Zealand,2023,48527.82892
97,United Kingdom,2000,28280.92679
98,United Kingdom,2001,27906.5695
99,United Kingdom,2002,30077.74143
100,United Kingdom,2003,34442.68754
101,United Kingdom,2004,40366.88867
102,United Kingdom,2005,42104.78844
103,United Kingdom,2006,44512.45903
104,United Kingdom,2007,50397.6855
105,United Kingdom,2008,47396.12021
106,United Kingdom,2009,38744.13169
107,United Kingdom,2010,39598.95712
108,United Kingdom,2011,42109.64188
109,United Kingdom,2012,42497.3405
110,United Kingdom,2013,43426.29814
111,United Kingdom,2014,47439.61659
112,United Kingdom,2015,44964.39114
113,United Kingdom,2016,40985.23514
114,United Kingdom,2017,40572.12148
115,United Kingdom,2018,43203.81411
116,United Kingdom,2019,42662.53537
117,United Kingdom,2020,40217.00901
118,United Kingdom,2021,46869.75906
119,United Kingdom,2022,45564.15694
120,United Kingdom,2023,48866.60396
